id,audio_path,transcript,normalized_transcript,native_text,romanized_text,code_mixed_text,scenario,language,duration_seconds
gu_00001,N/A,મેં અર્જુન ને WiFi નો ઉપયોગ કરીને પૈસા ટ્રાન્સફર કર્યા.,મેં અર્જુન ને WiFi નો ઉપયોગ કરીને પૈસા ટ્રાન્સફર કર્યા.,મેં અર્જુન ને WiFi નો ઉપયોગ કરીને પૈસા ટ્રાન્સફર કર્યા.,men arjuna ne WiFi no upayoga kareene paisaa traansaphara karyaa,મેં અર્જુન ને WiFi નો ઉપયોગ કરીને પૈસા ટ્રાન્સફર કર્યા.,abbreviations_acronyms,gu,0.0
gu_00002,N/A,"તમે મારો internet connection ચેક કરી શકો છો, કુણાલ?","તમે મારો internet connection ચેક કરી શકો છો, કુણાલ?","તમે મારો internet connection ચેક કરી શકો છો, કુણાલ?","tame maaro internet connection cheka karee shako chho, kunaal?","તમે મારો internet connection ચેક કરી શકો છો, કુણાલ?",code_mixed_speech,gu,0.0
gu_00003,N/A,તમારી બુકિંગ આઈડી 74708301 છે.,N/A,તમારી બુકિંગ આઈડી 74708301 છે.,tamaaree bukinga aaeedee 74708301 chhe,તમારી બુકિંગ આઈડી 74708301 છે.,numeric_normalization,gu,0.0
gu_00004,N/A,આવતીકાલે હૈદરાબાદ ના હવામાનની શું માહિતી છે?,આવતીકાલે હૈદરાબાદ ના હવામાનની શું માહિતી છે?,આવતીકાલે હૈદરાબાદ ના હવામાનની શું માહિતી છે?,aavateekaale haidaraabaada naa havaamaananee shun maahitee chhe?,આવતીકાલે હૈદરાબાદ ના હવામાનની શું માહિતી છે?,normal_native_speech,gu,0.0
gu_00005,N/A,તમારી ટ્રેન નંબર 75054 છે.,N/A,તમારી ટ્રેન નંબર 75054 છે.,tamaaree trena nanbara 75054 chhe,તમારી ટ્રેન નંબર 75054 છે.,numeric_normalization,gu,0.0
gu_00006,N/A,"તમે મારો connection connection ચેક કરી શકો છો, પૂજા?","તમે મારો connection connection ચેક કરી શકો છો, પૂજા?","તમે મારો connection connection ચેક કરી શકો છો, પૂજા?","tame maaro connection connection cheka karee shako chho, poojaa?","તમે મારો connection connection ચેક કરી શકો છો, પૂજા?",code_mixed_speech,gu,0.0
gu_00007,N/A,વેપારીને 4530 રૂપિયા મોકલો.,N/A,વેપારીને 4530 રૂપિયા મોકલો.,vepaareene 4530 roopiyaa mokalo,વેપારીને 4530 રૂપિયા મોકલો.,numeric_normalization,gu,0.0
gu_00008,N/A,હું આવતા અઠવાડિયે અદિતિ સાથે વારાણસી જવાની યોજના બનાવી રહ્યો છું.,હું આવતા અઠવાડિયે અદિતિ સાથે વારાણસી જવાની યોજના બનાવી રહ્યો છું.,હું આવતા અઠવાડિયે અદિતિ સાથે વારાણસી જવાની યોજના બનાવી રહ્યો છું.,hun aavataa athavaadiye aditi saathe vaaraanasee javaanee yojanaa banaavee rahyo chhun,હું આવતા અઠવાડિયે અદિતિ સાથે વારાણસી જવાની યોજના બનાવી રહ્યો છું.,named_entities,gu,0.0
gu_00009,N/A,ટ્રેન પ્લેટફોર્મ નંબર 5 પરથી આગ્રા માટે ઉપડશે.,ટ્રેન પ્લેટફોર્મ નંબર 5 પરથી આગ્રા માટે ઉપડશે.,ટ્રેન પ્લેટફોર્મ નંબર 5 પરથી આગ્રા માટે ઉપડશે.,trena pletaphorma nanbara 5 parathee aagraa maate upadashe,ટ્રેન પ્લેટફોર્મ નંબર 5 પરથી આગ્રા માટે ઉપડશે.,normal_native_speech,gu,0.0
gu_00010,N/A,મને 4 mbps ક્ષમતાવાળા ઉપકરણની જરૂર છે.,N/A,મને 4 mbps ક્ષમતાવાળા ઉપકરણની જરૂર છે.,mane 4 mbps kshamataavaaaa upakarananee jaroora chhe,મને 4 mbps ક્ષમતાવાળા ઉપકરણની જરૂર છે.,units_measurements,gu,0.0
gu_00011,N/A,કૃપા કરીને પાર્સલ ફ્લેટ 85-5-811/6 પર પહોંચાડો.,N/A,કૃપા કરીને પાર્સલ ફ્લેટ 85-5-811/6 પર પહોંચાડો.,kripaa kareene paarsala phleta 85-5-811/6 para pahonchaado,કૃપા કરીને પાર્સલ ફ્લેટ 85-5-811/6 પર પહોંચાડો.,numeric_normalization,gu,0.0
gu_00012,N/A,પૂજા સાથે સુરત નો weekend trip પ્લાન કરીએ.,પૂજા સાથે સુરત નો weekend trip પ્લાન કરીએ.,પૂજા સાથે સુરત નો weekend trip પ્લાન કરીએ.,poojaa saathe surata no weekend trip plaana kareee,પૂજા સાથે સુરત નો weekend trip પ્લાન કરીએ.,code_mixed_speech,gu,0.0
gu_00013,N/A,ટિકિટની કિંમત 1170 રૂપિયા છે.,N/A,ટિકિટની કિંમત 1170 રૂપિયા છે.,tikitanee kinmata 1170 roopiyaa chhe,ટિકિટની કિંમત 1170 રૂપિયા છે.,numeric_normalization,gu,0.0
gu_00014,N/A,PNR 1502510771 નો ઉપયોગ કરીને રિઝર્વેશન તપાસો.,PNR one five zero two five one zero seven seven one નો ઉપયોગ કરીને રિઝર્વેશન તપાસો.,PNR 1502510771 નો ઉપયોગ કરીને રિઝર્વેશન તપાસો.,PNR one five zero two five one zero seven seven one no upayoga kareene rijharveshana tapaaso,PNR one five zero two five one zero seven seven one નો ઉપયોગ કરીને રિઝર્વેશન તપાસો.,spoken_number_patterns,gu,0.0
gu_00015,N/A,તમારું બીપી સામાન્ય છે પરંતુ Dr. કરણ એ આવતા અઠવાડિયે ફોલો-અપ ઇસીજીની સલાહ આપી છે.,તમારું બીપી સામાન્ય છે પરંતુ Dr. કરણ એ આવતા અઠવાડિયે ફોલો-અપ ઇસીજીની સલાહ આપી છે.,તમારું બીપી સામાન્ય છે પરંતુ Dr. કરણ એ આવતા અઠવાડિયે ફોલો-અપ ઇસીજીની સલાહ આપી છે.,tamaarun beepee saamaanya chhe parantu Dr karana e aavataa athavaadiye pholo-apa iseejeenee salaaha aapee chhe,તમારું બીપી સામાન્ય છે પરંતુ Dr. કરણ એ આવતા અઠવાડિયે ફોલો-અપ ઇસીજીની સલાહ આપી છે.,domain_specific_terms,gu,0.0
gu_00016,N/A,રિફંડની રકમ 2420 રૂપિયા છે.,રિફંડની રકમ two four two zero રૂપિયા છે.,રિફંડની રકમ 2420 રૂપિયા છે.,riphandanee rakama two four two zero roopiyaa chhe,રિફંડની રકમ two four two zero રૂપિયા છે.,spoken_number_patterns,gu,0.0
gu_00017,N/A,ગઈકાલે Uber નું system database ક્રેશ થઈ ગયું.,ગઈકાલે Uber નું system database ક્રેશ થઈ ગયું.,ગઈકાલે Uber નું system database ક્રેશ થઈ ગયું.,gaeekaale Uber nun system database kresha thaee gayun,ગઈકાલે Uber નું system database ક્રેશ થઈ ગયું.,english_word_retention,gu,0.0
gu_00018,N/A,"શું તમે તમારા નિષ્ફળ યુપીઆઈ વ્યવહાર માટે બાર આંકડાનો આરઆરએન શેર કરી શકો છો, ma'am?","શું તમે તમારા નિષ્ફળ યુપીઆઈ વ્યવહાર માટે બાર આંકડાનો આરઆરએન શેર કરી શકો છો, ma'am?","શું તમે તમારા નિષ્ફળ યુપીઆઈ વ્યવહાર માટે બાર આંકડાનો આરઆરએન શેર કરી શકો છો, ma'am?","shun tame tamaaraa nishpha yupeeaaee vyavahaara maate baara aankadaano aaraaaraena shera karee shako chho, ma'am?","શું તમે તમારા નિષ્ફળ યુપીઆઈ વ્યવહાર માટે બાર આંકડાનો આરઆરએન શેર કરી શકો છો, ma'am?",domain_specific_terms,gu,0.0
gu_00019,N/A,"તમે મારો server connection ચેક કરી શકો છો, કેયુર?","તમે મારો server connection ચેક કરી શકો છો, કેયુર?","તમે મારો server connection ચેક કરી શકો છો, કેયુર?","tame maaro server connection cheka karee shako chho, keyur?","તમે મારો server connection ચેક કરી શકો છો, કેયુર?",code_mixed_speech,gu,0.0
gu_00020,N/A,"કૃપા કરીને તમારા ફોન પર મોકલેલો ATM દાખલ કરો, દિવ્યા.","કૃપા કરીને તમારા ફોન પર મોકલેલો ATM દાખલ કરો, દિવ્યા.","કૃપા કરીને તમારા ફોન પર મોકલેલો ATM દાખલ કરો, દિવ્યા.","kripaa kareene tamaaraa phona para mokalelo ATM daakhala karo, divyaa","કૃપા કરીને તમારા ફોન પર મોકલેલો ATM દાખલ કરો, દિવ્યા.",abbreviations_acronyms,gu,0.0
gu_00021,N/A,ફેરફારો માટે કૃપા કરીને બુકિંગ આઈડી 352008 નો સંદર્ભ લો.,N/A,ફેરફારો માટે કૃપા કરીને બુકિંગ આઈડી 352008 નો સંદર્ભ લો.,pheraphaaro maate kripaa kareene bukinga aaeedee 352008 no sandarbha lo,ફેરફારો માટે કૃપા કરીને બુકિંગ આઈડી 352008 નો સંદર્ભ લો.,numeric_normalization,gu,0.0
gu_00022,N/A,આવતીકાલે નાગપુર ના હવામાનની શું માહિતી છે?,આવતીકાલે નાગપુર ના હવામાનની શું માહિતી છે?,આવતીકાલે નાગપુર ના હવામાનની શું માહિતી છે?,aavateekaale naagapura naa havaamaananee shun maahitee chhe?,આવતીકાલે નાગપુર ના હવામાનની શું માહિતી છે?,normal_native_speech,gu,0.0
gu_00023,N/A,વ્યાકરણની પેટર્ન આગ્રા જેવા પ્રદેશો વચ્ચે બદલાય છે.,વ્યાકરણની પેટર્ન આગ્રા જેવા પ્રદેશો વચ્ચે બદલાય છે.,વ્યાકરણની પેટર્ન આગ્રા જેવા પ્રદેશો વચ્ચે બદલાય છે.,vyaakarananee petarna aagraa jevaa pradesho vachche badalaaya chhe,વ્યાકરણની પેટર્ન આગ્રા જેવા પ્રદેશો વચ્ચે બદલાય છે.,similar_language_confusion,gu,0.0
gu_00024,N/A,ટ્રેન પ્લેટફોર્મ નંબર 9 પરથી મુંબઈ માટે ઉપડશે.,ટ્રેન પ્લેટફોર્મ નંબર 9 પરથી મુંબઈ માટે ઉપડશે.,ટ્રેન પ્લેટફોર્મ નંબર 9 પરથી મુંબઈ માટે ઉપડશે.,trena pletaphorma nanbara 9 parathee munbaee maate upadashe,ટ્રેન પ્લેટફોર્મ નંબર 9 પરથી મુંબઈ માટે ઉપડશે.,normal_native_speech,gu,0.0
gu_00025,N/A,મને 100 GHz ક્ષમતાવાળા ઉપકરણની જરૂર છે.,N/A,મને 100 GHz ક્ષમતાવાળા ઉપકરણની જરૂર છે.,mane 100 GHz kshamataavaaaa upakarananee jaroora chhe,મને 100 GHz ક્ષમતાવાળા ઉપકરણની જરૂર છે.,units_measurements,gu,0.0
gu_00026,N/A,"ભાષાના નિયમોની કાળજીપૂર્વક ચકાસણી કરો, પૂજા.","ભાષાના નિયમોની કાળજીપૂર્વક ચકાસણી કરો, પૂજા.","ભાષાના નિયમોની કાળજીપૂર્વક ચકાસણી કરો, પૂજા.","bhaashaanaa niyamonee kaajeepoorvaka chakaasanee karo, poojaa","ભાષાના નિયમોની કાળજીપૂર્વક ચકાસણી કરો, પૂજા.",language_script_consistency,gu,0.0
gu_00027,N/A,તમારો ટિકિટ નંબર 932967 છે.,તમારો ટિકિટ નંબર nine three two nine six seven છે.,તમારો ટિકિટ નંબર 932967 છે.,tamaaro tikita nanbara nine three two nine six seven chhe,તમારો ટિકિટ નંબર nine three two nine six seven છે.,spoken_number_patterns,gu,0.0
