id,audio_path,transcript,normalized_transcript,native_text,romanized_text,code_mixed_text,scenario,language,duration_seconds
pa_00001,N/A,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ stressful ਦਿਨ ਰਿਹਾ।,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ stressful ਦਿਨ ਰਿਹਾ।,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ stressful ਦਿਨ ਰਿਹਾ।,aja office vicha bahuta stressful dina rihaa,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ stressful ਦਿਨ ਰਿਹਾ।,code_mixed_speech,pa,0.0
pa_00002,N/A,ਟ੍ਰੇਨ ਪਲੇਟਫਾਰਮ ਨੰਬਰ 2 ਤੋਂ ਜੈਪੁਰ ਲਈ ਰਵਾਨਾ ਹੋਵੇਗੀ।,ਟ੍ਰੇਨ ਪਲੇਟਫਾਰਮ ਨੰਬਰ 2 ਤੋਂ ਜੈਪੁਰ ਲਈ ਰਵਾਨਾ ਹੋਵੇਗੀ।,ਟ੍ਰੇਨ ਪਲੇਟਫਾਰਮ ਨੰਬਰ 2 ਤੋਂ ਜੈਪੁਰ ਲਈ ਰਵਾਨਾ ਹੋਵੇਗੀ।,trena paletaphaarama nabara 2 ton jaipura laee ravaanaa hovegee,ਟ੍ਰੇਨ ਪਲੇਟਫਾਰਮ ਨੰਬਰ 2 ਤੋਂ ਜੈਪੁਰ ਲਈ ਰਵਾਨਾ ਹੋਵੇਗੀ।,normal_native_speech,pa,0.0
pa_00003,N/A,Zomato ਬ੍ਰਾਊਜ਼ਿੰਗ ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਤੁਹਾਡਾ SIM ਚਾਲੂ ਹੈ।,Zomato ਬ੍ਰਾਊਜ਼ਿੰਗ ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਤੁਹਾਡਾ SIM ਚਾਲੂ ਹੈ।,Zomato ਬ੍ਰਾਊਜ਼ਿੰਗ ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਤੁਹਾਡਾ SIM ਚਾਲੂ ਹੈ।,Zomato braaoojaiga karana ton pahilaan yakeenee banaao ki tuhaadaa SIM chaaloo hai,Zomato ਬ੍ਰਾਊਜ਼ਿੰਗ ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਤੁਹਾਡਾ SIM ਚਾਲੂ ਹੈ।,abbreviations_acronyms,pa,0.0
pa_00004,N/A,ਇਹ ਵਾਕ Reliance ਵਿੱਚ ਸਪਸ਼ਟਤਾ ਦੀ ਪਰਖ ਕਰਦਾ ਹੈ।,ਇਹ ਵਾਕ Reliance ਵਿੱਚ ਸਪਸ਼ਟਤਾ ਦੀ ਪਰਖ ਕਰਦਾ ਹੈ।,ਇਹ ਵਾਕ Reliance ਵਿੱਚ ਸਪਸ਼ਟਤਾ ਦੀ ਪਰਖ ਕਰਦਾ ਹੈ।,iha vaaka Reliance vicha sapasatataa dee parakha karadaa hai,ਇਹ ਵਾਕ Reliance ਵਿੱਚ ਸਪਸ਼ਟਤਾ ਦੀ ਪਰਖ ਕਰਦਾ ਹੈ।,similar_language_confusion,pa,0.0
pa_00005,N/A,ਤੁਸੀਂ ਸਟੋਰ ਤੋਂ Instagram ਐਪ ਡਾਊਨਲੋડ ਕਰ ਸਕਦੇ ਹੋ।,ਤੁਸੀਂ ਸਟੋਰ ਤੋਂ Instagram ਐਪ ਡਾਊਨਲੋડ ਕਰ ਸਕਦੇ ਹੋ।,ਤੁਸੀਂ ਸਟੋਰ ਤੋਂ Instagram ਐਪ ਡਾਊਨਲੋડ ਕਰ ਸਕਦੇ ਹੋ।,tuseen satora ton Instagram aipa daaoonaloda kara sakade ho,ਤੁਸੀਂ ਸਟੋਰ ਤੋਂ Instagram ਐਪ ਡਾਊਨਲੋડ ਕਰ ਸਕਦੇ ਹੋ।,named_entities,pa,0.0
pa_00006,N/A,ਕਿਰਪਾ ਕਰਕੇ ਤਨਵੀ ਲਈ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਇੱਕ ਟੇਬਲ ਬੁੱਕ ਕਰੋ।,ਕਿਰਪਾ ਕਰਕੇ ਤਨਵੀ ਲਈ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਇੱਕ ਟੇਬਲ ਬੁੱਕ ਕਰੋ।,ਕਿਰਪਾ ਕਰਕੇ ਤਨਵੀ ਲਈ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਇੱਕ ਟੇਬਲ ਬੁੱਕ ਕਰੋ।,kirapaa karake tanavee laee raisatorainta vicha ika tebala buka karo,ਕਿਰਪਾ ਕਰਕੇ ਤਨਵੀ ਲਈ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਇੱਕ ਟੇਬਲ ਬੁੱਕ ਕਰੋ।,normal_native_speech,pa,0.0
pa_00007,N/A,ਵਿਜੇ ਨਾਲ ਦਿੱਲੀ ਦਾ weekend trip ਪਲਾਨ ਕਰਦੇ ਹਾਂ।,ਵਿਜੇ ਨਾਲ ਦਿੱਲੀ ਦਾ weekend trip ਪਲਾਨ ਕਰਦੇ ਹਾਂ।,ਵਿਜੇ ਨਾਲ ਦਿੱਲੀ ਦਾ weekend trip ਪਲਾਨ ਕਰਦੇ ਹਾਂ।,vije naala dilee daa weekend trip palaana karade haan,ਵਿਜੇ ਨਾਲ ਦਿੱਲੀ ਦਾ weekend trip ਪਲਾਨ ਕਰਦੇ ਹਾਂ।,code_mixed_speech,pa,0.0
pa_00008,N/A,Uber 'ਤੇ ਸਕ੍ਰਿਪਟ ਆਉਟਪੁੱਟ ਦੀ ਇਕਸਾਰਤਾ ਦੀ ਜਾਂਚ ਕਰੋ।,Uber 'ਤੇ ਸਕ੍ਰਿਪਟ ਆਉਟਪੁੱਟ ਦੀ ਇਕਸਾਰਤਾ ਦੀ ਜਾਂਚ ਕਰੋ।,Uber 'ਤੇ ਸਕ੍ਰਿਪਟ ਆਉਟਪੁੱਟ ਦੀ ਇਕਸਾਰਤਾ ਦੀ ਜਾਂਚ ਕਰੋ।,Uber 'te sakripata aautaputa dee ikasaarataa dee jaancha karo,Uber 'ਤੇ ਸਕ੍ਰਿਪਟ ਆਉਟਪੁੱਟ ਦੀ ਇਕਸਾਰਤਾ ਦੀ ਜਾਂਚ ਕਰੋ।,language_script_consistency,pa,0.0
pa_00009,N/A,"ਕੀ ਤੁਸੀਂ ਮੇਰਾ internet connection ਚੈੱਕ ਕਰ ਸਕਦੇ ਹੋ, ਰਾਹੁਲ?","ਕੀ ਤੁਸੀਂ ਮੇਰਾ internet connection ਚੈੱਕ ਕਰ ਸਕਦੇ ਹੋ, ਰਾਹੁਲ?","ਕੀ ਤੁਸੀਂ ਮੇਰਾ internet connection ਚੈੱਕ ਕਰ ਸਕਦੇ ਹੋ, ਰਾਹੁਲ?","kee tuseen meraa internet connection chaika kara sakade ho, raahul?","ਕੀ ਤੁਸੀਂ ਮੇਰਾ internet connection ਚੈੱਕ ਕਰ ਸਕਦੇ ਹੋ, ਰਾਹੁਲ?",code_mixed_speech,pa,0.0
pa_00010,N/A,"ਕੀ ਤੁਸੀਂ ਮੇਰਾ database connection ਚੈੱਕ ਕਰ ਸਕਦੇ ਹੋ, ਕੁਨਾਲ?","ਕੀ ਤੁਸੀਂ ਮੇਰਾ database connection ਚੈੱਕ ਕਰ ਸਕਦੇ ਹੋ, ਕੁਨਾਲ?","ਕੀ ਤੁਸੀਂ ਮੇਰਾ database connection ਚੈੱਕ ਕਰ ਸਕਦੇ ਹੋ, ਕੁਨਾਲ?","kee tuseen meraa database connection chaika kara sakade ho, kunaal?","ਕੀ ਤੁਸੀਂ ਮੇਰਾ database connection ਚੈੱਕ ਕਰ ਸਕਦੇ ਹੋ, ਕੁਨਾਲ?",code_mixed_speech,pa,0.0
pa_00011,N/A,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ stressful ਦਿਨ ਰਿਹਾ।,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ stressful ਦਿਨ ਰਿਹਾ।,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ stressful ਦਿਨ ਰਿਹਾ।,aja office vicha bahuta stressful dina rihaa,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ stressful ਦਿਨ ਰਿਹਾ।,code_mixed_speech,pa,0.0
pa_00012,N/A,ਪੀਐਨਆਰ 2844524843 ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਰਿਜ਼ਰਵੇਸ਼ਨ ਦੀ ਜਾਂਚ ਕਰੋ।,ਪੀਐਨਆਰ two eight four four five two four eight four three ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਰਿਜ਼ਰਵੇਸ਼ਨ ਦੀ ਜਾਂਚ ਕਰੋ।,ਪੀਐਨਆਰ 2844524843 ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਰਿਜ਼ਰਵੇਸ਼ਨ ਦੀ ਜਾਂਚ ਕਰੋ।,peeainaaara two eight four four five two four eight four three dee varaton karake rijaravesana dee jaancha karo,ਪੀਐਨਆਰ two eight four four five two four eight four three ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਰਿਜ਼ਰਵੇਸ਼ਨ ਦੀ ਜਾਂਚ ਕਰੋ।,spoken_number_patterns,pa,0.0
pa_00013,N/A,ਕੱਲ੍ਹ TCS ਦਾ system database ਕਰੈਸ਼ ਹੋ ਗਿਆ ਸੀ।,ਕੱਲ੍ਹ TCS ਦਾ system database ਕਰੈਸ਼ ਹੋ ਗਿਆ ਸੀ।,ਕੱਲ੍ਹ TCS ਦਾ system database ਕਰੈਸ਼ ਹੋ ਗਿਆ ਸੀ।,kalha TCS daa system database karaisa ho giaa see,ਕੱਲ੍ਹ TCS ਦਾ system database ਕਰੈਸ਼ ਹੋ ਗਿਆ ਸੀ।,english_word_retention,pa,0.0
pa_00014,N/A,"ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਫ਼ੋਨ 'ਤੇ ਭੇਜਿਆ ਗਿਆ KYC ਦਰਜ ਕਰੋ, ਰਾਹੁਲ।","ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਫ਼ੋਨ 'ਤੇ ਭੇਜਿਆ ਗਿਆ KYC ਦਰਜ ਕਰੋ, ਰਾਹੁਲ।","ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਫ਼ੋਨ 'ਤੇ ਭੇਜਿਆ ਗਿਆ KYC ਦਰਜ ਕਰੋ, ਰਾਹੁਲ।","kirapaa karake aapane phaona 'te bhejiaa giaa KYC daraja karo, raahula","ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਫ਼ੋਨ 'ਤੇ ਭੇਜਿਆ ਗਿਆ KYC ਦਰਜ ਕਰੋ, ਰਾਹੁਲ।",abbreviations_acronyms,pa,0.0
pa_00015,N/A,ਟ੍ਰੇਨ ਪਲੇਟਫਾਰਮ ਨੰਬਰ 1 ਤੋਂ ਅੰਮ੍ਰਿਤਸਰ ਲਈ ਰਵਾਨਾ ਹੋਵੇਗੀ।,ਟ੍ਰੇਨ ਪਲੇਟਫਾਰਮ ਨੰਬਰ 1 ਤੋਂ ਅੰਮ੍ਰਿਤਸਰ ਲਈ ਰਵਾਨਾ ਹੋਵੇਗੀ।,ਟ੍ਰੇਨ ਪਲੇਟਫਾਰਮ ਨੰਬਰ 1 ਤੋਂ ਅੰਮ੍ਰਿਤਸਰ ਲਈ ਰਵਾਨਾ ਹੋਵੇਗੀ।,trena paletaphaarama nabara 1 ton amritasara laee ravaanaa hovegee,ਟ੍ਰੇਨ ਪਲੇਟਫਾਰਮ ਨੰਬਰ 1 ਤੋਂ ਅੰਮ੍ਰਿਤਸਰ ਲਈ ਰਵਾਨਾ ਹੋਵੇਗੀ।,normal_native_speech,pa,0.0
pa_00016,N/A,"ਕੀ ਤੁਸੀਂ ਆਪਣੇ ਅਸਫਲ ਯੂਪੀਆਈ ਲੈਣ-ਦੇਣ ਲਈ ਬਾਰਾਂ ਅੰਕਾਂ ਦਾ ਆਰਆਰਐਨ ਸਾਂਝਾ ਕਰ ਸਕਦੇ ਹੋ, ma'am?","ਕੀ ਤੁਸੀਂ ਆਪਣੇ ਅਸਫਲ ਯੂਪੀਆਈ ਲੈਣ-ਦੇਣ ਲਈ ਬਾਰਾਂ ਅੰਕਾਂ ਦਾ ਆਰਆਰਐਨ ਸਾਂਝਾ ਕਰ ਸਕਦੇ ਹੋ, ma'am?","ਕੀ ਤੁਸੀਂ ਆਪਣੇ ਅਸਫਲ ਯੂਪੀਆਈ ਲੈਣ-ਦੇਣ ਲਈ ਬਾਰਾਂ ਅੰਕਾਂ ਦਾ ਆਰਆਰਐਨ ਸਾਂਝਾ ਕਰ ਸਕਦੇ ਹੋ, ma'am?","kee tuseen aapane asaphala yoopeeaaee laina-dena laee baaraan akaan daa aaraaaraaina saanjhaa kara sakade ho, ma'am?","ਕੀ ਤੁਸੀਂ ਆਪਣੇ ਅਸਫਲ ਯੂਪੀਆਈ ਲੈਣ-ਦੇਣ ਲਈ ਬਾਰਾਂ ਅੰਕਾਂ ਦਾ ਆਰਆਰਐਨ ਸਾਂਝਾ ਕਰ ਸਕਦੇ ਹੋ, ma'am?",domain_specific_terms,pa,0.0
pa_00017,N/A,ਅਸੀਂ WhatsApp 'ਤੇ ਕੋਡ ਅਪਲੋਡ ਕਰਾਂਗੇ।,ਅਸੀਂ WhatsApp 'ਤੇ ਕੋਡ ਅਪਲੋਡ ਕਰਾਂਗੇ।,ਅਸੀਂ WhatsApp 'ਤੇ ਕੋਡ ਅਪਲੋਡ ਕਰਾਂਗੇ।,aseen WhatsApp 'te koda apaloda karaange,ਅਸੀਂ WhatsApp 'ਤੇ ਕੋਡ ਅਪਲੋਡ ਕਰਾਂਗੇ।,english_word_retention,pa,0.0
pa_00018,N/A,ਮੈਂ WiFi ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਰੋਹਨ ਨੂੰ ਪੈਸੇ ਟ੍ਰਾਂਸਫਰ ਕੀਤੇ।,ਮੈਂ WiFi ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਰੋਹਨ ਨੂੰ ਪੈਸੇ ਟ੍ਰਾਂਸਫਰ ਕੀਤੇ।,ਮੈਂ WiFi ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਰੋਹਨ ਨੂੰ ਪੈਸੇ ਟ੍ਰਾਂਸਫਰ ਕੀਤੇ।,main WiFi dee varaton karake rohana noo paise traansaphara keete,ਮੈਂ WiFi ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਰੋਹਨ ਨੂੰ ਪੈਸੇ ਟ੍ਰਾਂਸਫਰ ਕੀਤੇ।,abbreviations_acronyms,pa,0.0
pa_00019,N/A,ਸਾਨੂੰ TCS ਵਿੱਚ PIN ਵਿੱਚ ਮੁਹਾਰਤ ਰੱਖਣ ਵਾਲੇ ਇੱਕ ਇੰਜੀਨੀਅਰ ਦੀ ਲੋੜ ਹੈ।,ਸਾਨੂੰ TCS ਵਿੱਚ PIN ਵਿੱਚ ਮੁਹਾਰਤ ਰੱਖਣ ਵਾਲੇ ਇੱਕ ਇੰਜੀਨੀਅਰ ਦੀ ਲੋੜ ਹੈ।,ਸਾਨੂੰ TCS ਵਿੱਚ PIN ਵਿੱਚ ਮੁਹਾਰਤ ਰੱਖਣ ਵਾਲੇ ਇੱਕ ਇੰਜੀਨੀਅਰ ਦੀ ਲੋੜ ਹੈ।,saanoo TCS vicha PIN vicha muhaarata rakhana vaale ika ijeeneeara dee lo hai,ਸਾਨੂੰ TCS ਵਿੱਚ PIN ਵਿੱਚ ਮੁਹਾਰਤ ਰੱਖਣ ਵਾਲੇ ਇੱਕ ਇੰਜੀਨੀਅਰ ਦੀ ਲੋੜ ਹੈ।,abbreviations_acronyms,pa,0.0
pa_00020,N/A,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ wonderful ਦਿਨ ਰਿਹਾ।,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ wonderful ਦਿਨ ਰਿਹਾ।,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ wonderful ਦਿਨ ਰਿਹਾ।,aja office vicha bahuta wonderful dina rihaa,ਅੱਜ office ਵਿੱਚ ਬਹੁਤ wonderful ਦਿਨ ਰਿਹਾ।,code_mixed_speech,pa,0.0
pa_00021,N/A,ਕਬੀਰ ਨਾਲ ਪਟਿਆਲਾ ਦਾ weekend trip ਪਲਾਨ ਕਰਦੇ ਹਾਂ।,ਕਬੀਰ ਨਾਲ ਪਟਿਆਲਾ ਦਾ weekend trip ਪਲਾਨ ਕਰਦੇ ਹਾਂ।,ਕਬੀਰ ਨਾਲ ਪਟਿਆਲਾ ਦਾ weekend trip ਪਲਾਨ ਕਰਦੇ ਹਾਂ।,kabeera naala patiaalaa daa weekend trip palaana karade haan,ਕਬੀਰ ਨਾਲ ਪਟਿਆਲਾ ਦਾ weekend trip ਪਲਾਨ ਕਰਦੇ ਹਾਂ।,code_mixed_speech,pa,0.0
pa_00022,N/A,"ਤੁਹਾਡਾ ਐਚਬੀਏ1ਸੀ ਪੱਧਰ 10 ਫੀਸਦੀ ਹੈ, ਜੋ ਕਿ ਥੋੜ੍ਹਾ ਜਿਹਾ ਜ਼ਿਆਦਾ ਹੈ, ਹੈ ਨਾ?","ਤੁਹਾਡਾ ਐਚਬੀਏ1ਸੀ ਪੱਧਰ 10 ਫੀਸਦੀ ਹੈ, ਜੋ ਕਿ ਥੋੜ੍ਹਾ ਜਿਹਾ ਜ਼ਿਆਦਾ ਹੈ, ਹੈ ਨਾ?","ਤੁਹਾਡਾ ਐਚਬੀਏ1ਸੀ ਪੱਧਰ 10 ਫੀਸਦੀ ਹੈ, ਜੋ ਕਿ ਥੋੜ੍ਹਾ ਜਿਹਾ ਜ਼ਿਆਦਾ ਹੈ, ਹੈ ਨਾ?","tuhaadaa aichabeee1see padhara 10 pheesadee hai, jo ki thohaa jihaa jaiaadaa hai, hai naa?","ਤੁਹਾਡਾ ਐਚਬੀਏ1ਸੀ ਪੱਧਰ 10 ਫੀਸਦੀ ਹੈ, ਜੋ ਕਿ ਥੋੜ੍ਹਾ ਜਿਹਾ ਜ਼ਿਆਦਾ ਹੈ, ਹੈ ਨਾ?",domain_specific_terms,pa,0.0
