id,audio_path,transcript,normalized_transcript,native_text,romanized_text,code_mixed_text,scenario,language,duration_seconds
mr_00001,N/A,हे वाक्य Infosys मध्ये स्पष्टतेची चाचणी घेते.,हे वाक्य Infosys मध्ये स्पष्टतेची चाचणी घेते.,हे वाक्य Infosys मध्ये स्पष्टतेची चाचणी घेते.,he vaakya Infosys madhye spashtatechee chaachanee ghete,हे वाक्य Infosys मध्ये स्पष्टतेची चाचणी घेते.,similar_language_confusion,mr,0.0
mr_00002,N/A,दीपिका सोबत नागपूर ચા weekend trip प्लॅन करूया.,दीपिका सोबत नागपूर ચા weekend trip प्लॅन करूया.,दीपिका सोबत नागपूर ચા weekend trip प्लॅन करूया.,deepikaa sobata naagapoora chaa weekend trip plena karooyaa,दीपिका सोबत नागपूर ચા weekend trip प्लॅन करूया.,code_mixed_speech,mr,0.0
mr_00003,N/A,"कृपया तुमच्या फोनवर आलेला SIM પ્રविष्ट करा, यश.","कृपया तुमच्या फोनवर आलेला SIM પ્રविष्ट करा, यश.","कृपया तुमच्या फोनवर आलेला SIM પ્રविष्ट करा, यश.","kripayaa tumachyaa phonavara aalelaa SIM pravishta karaa, yasha","कृपया तुमच्या फोनवर आलेला SIM પ્રविष्ट करा, यश.",abbreviations_acronyms,mr,0.0
mr_00004,N/A,तुमचा बुकिंग आयडी 42513220 आहे.,N/A,तुमचा बुकिंग आयडी 42513220 आहे.,tumachaa bukinga aayadee 42513220 aahe,तुमचा बुकिंग आयडी 42513220 आहे.,numeric_normalization,mr,0.0
mr_00005,N/A,आज office मध्ये खूप busy दिवस होता.,आज office मध्ये खूप busy दिवस होता.,आज office मध्ये खूप busy दिवस होता.,aaja office madhye khoopa busy divasa hotaa,आज office मध्ये खूप busy दिवस होता.,code_mixed_speech,mr,0.0
mr_00006,N/A,तुमचा पीएनआर नंबर 1416822668 आहे.,तुमचा पीएनआर नंबर one four one six eight double two double six eight आहे.,तुमचा पीएनआर नंबर 1416822668 आहे.,tumachaa peeenaaara nanbara one four one six eight double two double six eight aahe,तुमचा पीएनआर नंबर one four one six eight double two double six eight आहे.,spoken_number_patterns,mr,0.0
mr_00007,N/A,हे वाक्य Apple मध्ये स्पष्टतेची चाचणी घेते.,हे वाक्य Apple मध्ये स्पष्टतेची चाचणी घेते.,हे वाक्य Apple मध्ये स्पष्टतेची चाचणी घेते.,he vaakya Apple madhye spashtatechee chaachanee ghete,हे वाक्य Apple मध्ये स्पष्टतेची चाचणी घेते.,similar_language_confusion,mr,0.0
mr_00008,N/A,डॉक्टरांनी 39 kg डोस लिहून दिला.,N/A,डॉक्टरांनी 39 kg डोस लिहून दिला.,doktaraannee 39 kg dosa lihoona dilaa,डॉक्टरांनी 39 kg डोस लिहून दिला.,units_measurements,mr,0.0
mr_00009,N/A,Google ने ગુવાહાટી मध्ये नवीन कार्यालयाची घोषणा केली.,Google ने ગુવાહાટી मध्ये नवीन कार्यालयाची घोषणा केली.,Google ने ગુવાહાટી मध्ये नवीन कार्यालयाची घोषणा केली.,Google ne guvaahaatee madhye naveena kaaryaalayaachee ghoshanaa kelee,Google ने ગુવાહાટી मध्ये नवीन कार्यालयाची घोषणा केली.,named_entities,mr,0.0
mr_00010,N/A,आम्हाला Uber मध्ये SIM मध्ये तज्ञ असलेल्या अभियंत्याची गरज आहे.,आम्हाला Uber मध्ये SIM मध्ये तज्ञ असलेल्या अभियंत्याची गरज आहे.,आम्हाला Uber मध्ये SIM मध्ये तज्ञ असलेल्या अभियंत्याची गरज आहे.,aamhaalaa Uber madhye SIM madhye tajna asalelyaa abhiyantyaachee garaja aahe,आम्हाला Uber मध्ये SIM मध्ये तज्ञ असलेल्या अभियंत्याची गरज आहे.,abbreviations_acronyms,mr,0.0
mr_00011,N/A,काल TCS चे system database क्रॅश झाले.,काल TCS चे system database क्रॅश झाले.,काल TCS चे system database क्रॅश झाले.,kaala TCS che system database kresha jhaale,काल TCS चे system database क्रॅश झाले.,english_word_retention,mr,0.0
mr_00012,N/A,आम्हाला Amazon मध्ये KYC मध्ये तज्ञ असलेल्या अभियंत्याची गरज आहे.,आम्हाला Amazon मध्ये KYC मध्ये तज्ञ असलेल्या अभियंत्याची गरज आहे.,आम्हाला Amazon मध्ये KYC मध्ये तज्ञ असलेल्या अभियंत्याची गरज आहे.,aamhaalaa Amazon madhye KYC madhye tajna asalelyaa abhiyantyaachee garaja aahe,आम्हाला Amazon मध्ये KYC मध्ये तज्ञ असलेल्या अभियंत्याची गरज आहे.,abbreviations_acronyms,mr,0.0
mr_00013,N/A,आज office मध्ये खूप exciting दिवस होता.,आज office मध्ये खूप exciting दिवस होता.,आज office मध्ये खूप exciting दिवस होता.,aaja office madhye khoopa exciting divasa hotaa,आज office मध्ये खूप exciting दिवस होता.,code_mixed_speech,mr,0.0
mr_00014,N/A,"तुम्ही माझा WiFi connection ચેક કરી શકો છો કા, वरुण?","तुम्ही माझा WiFi connection ચેક કરી શકો છો કા, वरुण?","तुम्ही माझा WiFi connection ચેક કરી શકો છો કા, वरुण?","tumhee maajhaa WiFi connection cheka karee shako chho kaa, varun?","तुम्ही माझा WiFi connection ચેક કરી શકો છો કા, वरुण?",code_mixed_speech,mr,0.0
mr_00015,N/A,ट्रेन प्लॅटफॉर्म क्रमांक 6 वरून ઈન્દોર साठी सुटेल.,ट्रेन प्लॅटफॉर्म क्रमांक 6 वरून ઈન્દોર साठी सुटेल.,ट्रेन प्लॅटफॉर्म क्रमांक 6 वरून ઈન્દોર साठी सुटेल.,trena pletaphorma kramaanka 6 varoona eendora saathee sutela,ट्रेन प्लॅटफॉर्म क्रमांक 6 वरून ઈન્દોર साठी सुटेल.,normal_native_speech,mr,0.0
mr_00016,N/A,उद्या कोलकाता च्या हवामानाची काय माहिती आहे?,उद्या कोलकाता च्या हवामानाची काय माहिती आहे?,उद्या कोलकाता च्या हवामानाची काय माहिती आहे?,udyaa kolakaataa chyaa havaamaanaachee kaaya maahitee aahe?,उद्या कोलकाता च्या हवामानाची काय माहिती आहे?,normal_native_speech,mr,0.0
mr_00017,N/A,"कृपया हळू बोला, अंजलि, मला समजले नाही.","कृपया हळू बोला, अंजलि, मला समजले नाही.","कृपया हळू बोला, अंजलि, मला समजले नाही.","kripayaa haoo bolaa, anjali, malaa samajale naahee","कृपया हळू बोला, अंजलि, मला समजले नाही.",noisy_or_real_world_audio,mr,0.0
mr_00018,N/A,कृपया पूजा साठी टेबल बुक करा.,कृपया पूजा साठी टेबल बुक करा.,कृपया पूजा साठी टेबल बुक करा.,kripayaa poojaa saathee tebala buka karaa,कृपया पूजा साठी टेबल बुक करा.,normal_native_speech,mr,0.0
mr_00019,N/A,"तुम्ही माझा internet connection ચેક કરી શકો છો કા, संजय?","तुम्ही माझा internet connection ચેક કરી શકો છો કા, संजय?","तुम्ही माझा internet connection ચેક કરી શકો છો કા, संजय?","tumhee maajhaa internet connection cheka karee shako chho kaa, sanjay?","तुम्ही माझा internet connection ચેક કરી શકો છો કા, संजय?",code_mixed_speech,mr,0.0
mr_00020,N/A,कृपया flight AI 9126 साठी चेक-इन करा.,N/A,कृपया flight AI 9126 साठी चेक-इन करा.,kripayaa flight AI 9126 saathee cheka-ina karaa,कृपया flight AI 9126 साठी चेक-इन करा.,numeric_normalization,mr,0.0
mr_00021,N/A,"तुम्ही माझा WiFi connection ચેક કરી શકો છો કા, कुणाल?","तुम्ही माझा WiFi connection ચેક કરી શકો છો કા, कुणाल?","तुम्ही माझा WiFi connection ચેક કરી શકો છો કા, कुणाल?","tumhee maajhaa WiFi connection cheka karee shako chho kaa, kunaal?","तुम्ही माझा WiFi connection ચેક કરી શકો છો કા, कुणाल?",code_mixed_speech,mr,0.0
mr_00022,N/A,वेग मर्यादा 79 km/hr आहे.,N/A,वेग मर्यादा 79 km/hr आहे.,vega maryaadaa 79 km/hr aahe,वेग मर्यादा 79 km/hr आहे.,units_measurements,mr,0.0
mr_00023,N/A,मला दर 1 तासाला ब्रेक घेण्यासाठी करण्याचा रिमाइंडर द्या.,मला दर 1 तासाला ब्रेक घेण्यासाठी करण्याचा रिमाइंडर द्या.,मला दर 1 तासाला ब्रेक घेण्यासाठी करण्याचा रिमाइंडर द्या.,malaa dara 1 taasaalaa breka ghenyaasaathee karanyaachaa rimaaindara dyaa,मला दर 1 तासाला ब्रेक घेण्यासाठी करण्याचा रिमाइंडर द्या.,normal_native_speech,mr,0.0
mr_00024,N/A,प्रत्येक तिकीट 470 रुपयांचे आहे.,N/A,प्रत्येक तिकीट 470 रुपयांचे आहे.,pratyeka tikeeta 470 rupayaanche aahe,प्रत्येक तिकीट 470 रुपयांचे आहे.,numeric_normalization,mr,0.0
mr_00025,N/A,काउंटरवर बुकिंग आयडी 2452990 दाखवा.,काउंटरवर बुकिंग आयडी two four five two double nine zero दाखवा.,काउंटरवर बुकिंग आयडी 2452990 दाखवा.,kaauntaravara bukinga aayadee two four five two double nine zero daakhavaa,काउंटरवर बुकिंग आयडी two four five two double nine zero दाखवा.,spoken_number_patterns,mr,0.0
mr_00026,N/A,मी पुढील आठवड्यात अर्जुन सोबत बंगलोर ला भेट देण्याची योजना आखत आहे.,मी पुढील आठवड्यात अर्जुन सोबत बंगलोर ला भेट देण्याची योजना आखत आहे.,मी पुढील आठवड्यात अर्जुन सोबत बंगलोर ला भेट देण्याची योजना आखत आहे.,mee pudheela aathavadyaata arjuna sobata bangalora laa bheta denyaachee yojanaa aakhata aahe,मी पुढील आठवड्यात अर्जुन सोबत बंगलोर ला भेट देण्याची योजना आखत आहे.,named_entities,mr,0.0
mr_00027,N/A,आज office मध्ये खूप stressful दिवस होता.,आज office मध्ये खूप stressful दिवस होता.,आज office मध्ये खूप stressful दिवस होता.,aaja office madhye khoopa stressful divasa hotaa,आज office मध्ये खूप stressful दिवस होता.,code_mixed_speech,mr,0.0
