id,audio_path,transcript,normalized_transcript,native_text,romanized_text,code_mixed_text,scenario,language,duration_seconds
kn_00001,N/A,ನನಗೆ Amazon ನಲ್ಲಿ ಒಂದು trending video ನೋಡಬೇಕು.,ನನಗೆ Amazon ನಲ್ಲಿ ಒಂದು trending video ನೋಡಬೇಕು.,ನನಗೆ Amazon ನಲ್ಲಿ ಒಂದು trending video ನೋಡಬೇಕು.,nanage Amazon nalli ndu trending video nodabeku,ನನಗೆ Amazon ನಲ್ಲಿ ಒಂದು trending video ನೋಡಬೇಕು.,code_mixed_speech,kn,0.0
kn_00002,N/A,"ಈ document ವಿವರಗಳನ್ನು ರಹಸ್ಯವಾಗಿಡಿ, ವಿಜಯ್.","ಈ document ವಿವರಗಳನ್ನು ರಹಸ್ಯವಾಗಿಡಿ, ವಿಜಯ್.","ಈ document ವಿವರಗಳನ್ನು ರಹಸ್ಯವಾಗಿಡಿ, ವಿಜಯ್.","ee document vivaragannu rahasyavaagidi, vijay","ಈ document ವಿವರಗಳನ್ನು ರಹಸ್ಯವಾಗಿಡಿ, ವಿಜಯ್.",english_word_retention,kn,0.0
kn_00003,N/A,ರೂಪಾ ಅವರೊಂದಿಗೆ ಸೂರತ್ weekend trip ಪ್ಲಾನ್ ಮಾಡೋಣ.,ರೂಪಾ ಅವರೊಂದಿಗೆ ಸೂರತ್ weekend trip ಪ್ಲಾನ್ ಮಾಡೋಣ.,ರೂಪಾ ಅವರೊಂದಿಗೆ ಸೂರತ್ weekend trip ಪ್ಲಾನ್ ಮಾಡೋಣ.,roopaa avarondige soorat weekend trip plaan maadona,ರೂಪಾ ಅವರೊಂದಿಗೆ ಸೂರತ್ weekend trip ಪ್ಲಾನ್ ಮಾಡೋಣ.,code_mixed_speech,kn,0.0
kn_00004,N/A,"ನೀವು status ಅನ್ನು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಪರಿಶೀಲಿಸಬೇಕು, ರೂಪಾ.","ನೀವು status ಅನ್ನು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಪರಿಶೀಲಿಸಬೇಕು, ರೂಪಾ.","ನೀವು status ಅನ್ನು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಪರಿಶೀಲಿಸಬೇಕು, ರೂಪಾ.","neevu status annu aan‌lain‌nalli parisheelisabeku, roopaa","ನೀವು status ಅನ್ನು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಪರಿಶೀಲಿಸಬೇಕು, ರೂಪಾ.",english_word_retention,kn,0.0
kn_00005,N/A,ನೀವು ಆಪ್ ಸ್ಟೋರ್‌ನಿಂದ Instagram ಆಪ್ ಡೌನ್‌ಲೋಡ್ ಮಾಡಬಹುದು.,ನೀವು ಆಪ್ ಸ್ಟೋರ್‌ನಿಂದ Instagram ಆಪ್ ಡೌನ್‌ಲೋಡ್ ಮಾಡಬಹುದು.,ನೀವು ಆಪ್ ಸ್ಟೋರ್‌ನಿಂದ Instagram ಆಪ್ ಡೌನ್‌ಲೋಡ್ ಮಾಡಬಹುದು.,neevu aap stor‌ninda Instagram aap daun‌lod maadabahudu,ನೀವು ಆಪ್ ಸ್ಟೋರ್‌ನಿಂದ Instagram ಆಪ್ ಡೌನ್‌ಲೋಡ್ ಮಾಡಬಹುದು.,named_entities,kn,0.0
kn_00006,N/A,"ಭಾಷೆಯ ನಿಯಮಗಳನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಪರಿಶೀಲಿಸಿ, ಆಲೋಕ್.","ಭಾಷೆಯ ನಿಯಮಗಳನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಪರಿಶೀಲಿಸಿ, ಆಲೋಕ್.","ಭಾಷೆಯ ನಿಯಮಗಳನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಪರಿಶೀಲಿಸಿ, ಆಲೋಕ್.","bhaasheya niyamagannu chcharikeyinda parisheelisi, aalok","ಭಾಷೆಯ ನಿಯಮಗಳನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಪರಿಶೀಲಿಸಿ, ಆಲೋಕ್.",language_script_consistency,kn,0.0
kn_00007,N/A,ಸಭೆಯು 06:30 ಗಂಟೆಗೆ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ.,ಸಭೆಯು zero six three zero ಗಂಟೆಗೆ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ.,ಸಭೆಯು 06:30 ಗಂಟೆಗೆ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ.,sabheyu zero six three zero gantege praaranbhavaaguttade,ಸಭೆಯು zero six three zero ಗಂಟೆಗೆ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ.,spoken_number_patterns,kn,0.0
kn_00008,N/A,ಯಶ್ Meta ಸಂಸ್ಥೆಯಲ್ಲಿ ಡೆವಲಪರ್ ಆಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.,ಯಶ್ Meta ಸಂಸ್ಥೆಯಲ್ಲಿ ಡೆವಲಪರ್ ಆಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.,ಯಶ್ Meta ಸಂಸ್ಥೆಯಲ್ಲಿ ಡೆವಲಪರ್ ಆಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.,yash Meta sanstheyalli devalapar aagi kelasa maaduttiddaare,ಯಶ್ Meta ಸಂಸ್ಥೆಯಲ್ಲಿ ಡೆವಲಪರ್ ಆಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.,named_entities,kn,0.0
kn_00009,N/A,ಅಂಚೆ ಪಿನ್‌ಕೋಡ್ 7375 ಆಗಿದೆ.,N/A,ಅಂಚೆ ಪಿನ್‌ಕೋಡ್ 7375 ಆಗಿದೆ.,anche pin‌kod 7375 aagide,ಅಂಚೆ ಪಿನ್‌ಕೋಡ್ 7375 ಆಗಿದೆ.,numeric_normalization,kn,0.0
kn_00010,N/A,ನಿಮ್ಮ ಬುಕಿಂಗ್ ಐಡಿ 9543188 ಆಗಿದೆ.,ನಿಮ್ಮ ಬುಕಿಂಗ್ ಐಡಿ nine five four three one eight eight ಆಗಿದೆ.,ನಿಮ್ಮ ಬುಕಿಂಗ್ ಐಡಿ 9543188 ಆಗಿದೆ.,nimma buking aidi nine five four three one eight eight aagide,ನಿಮ್ಮ ಬುಕಿಂಗ್ ಐಡಿ nine five four three one eight eight ಆಗಿದೆ.,spoken_number_patterns,kn,0.0
