id,audio_path,transcript,normalized_transcript,native_text,romanized_text,code_mixed_text,scenario,language,duration_seconds
or_00001,N/A,Infosys ଇନ୍ଦୋର ରେ ନୂତନ କାର୍ଯ୍ୟାଳୟ ଘୋଷଣା କରିଛି ।,Infosys ଇନ୍ଦୋର ରେ ନୂତନ କାର୍ଯ୍ୟାଳୟ ଘୋଷଣା କରିଛି ।,Infosys ଇନ୍ଦୋର ରେ ନୂତନ କାର୍ଯ୍ୟାଳୟ ଘୋଷଣା କରିଛି ।,Infosys indora re nootana kaaryaa ghoshanaa karichhi,Infosys ଇନ୍ଦୋର ରେ ନୂତନ କାର୍ଯ୍ୟାଳୟ ଘୋଷଣା କରିଛି ।,named_entities,or,0.0
or_00002,N/A,ଦୟାକରି ବିଜୟ ପାଇଁ ଟେବୁଲ୍ ବୁକ୍ କରନ୍ତୁ ।,ଦୟାକରି ବିଜୟ ପାଇଁ ଟେବୁଲ୍ ବୁକ୍ କରନ୍ତୁ ।,ଦୟାକରି ବିଜୟ ପାଇଁ ଟେବୁଲ୍ ବୁକ୍ କରନ୍ତୁ ।,daaakari bija paain tebul buk karantu,ଦୟାକରି ବିଜୟ ପାଇଁ ଟେବୁଲ୍ ବୁକ୍ କରନ୍ତୁ ।,normal_native_speech,or,0.0
or_00003,N/A,ଇନଭଏସ ରୁମ ନମ୍ବર 95-57/5 କୁ ପଠାନ୍ତୁ ।,N/A,ଇନଭଏସ ରୁମ ନମ୍ବર 95-57/5 କୁ ପଠାନ୍ତୁ ।,inabhaesa ruma nambara 95-57/5 ku pathaantu,ଇନଭଏସ ରୁମ ନମ୍ବર 95-57/5 କୁ ପଠାନ୍ତୁ ।,numeric_normalization,or,0.0
or_00004,N/A,ମୋତେ ପ୍ରତି 8 ଘଣ୍ଟାରେ ବିରତି ନେବା ପାଇଁ ପାଇଁ ରିମାଇଣ୍ଡର ଦିଅନ୍ତು ।,ମୋତେ ପ୍ରତି 8 ଘଣ୍ଟାରେ ବିରତି ନେବା ପାଇଁ ପାଇଁ ରିମାଇଣ୍ଡର ଦିଅନ୍ତು ।,ମୋତେ ପ୍ରତି 8 ଘଣ୍ଟାରେ ବିରତି ନେବା ପାଇଁ ପାଇଁ ରିମାଇଣ୍ଡର ଦିଅନ୍ତು ।,mote prati 8 ghantaare birati nebaa paain paain rimaaindara diantu,ମୋତେ ପ୍ରତି 8 ଘଣ୍ଟାରେ ବିରତି ନେବା ପାଇଁ ପାଇଁ ରିମାଇଣ୍ଡର ଦିଅନ୍ତು ।,normal_native_speech,or,0.0
or_00005,N/A,କରଣ ସହ ଅହମଦାବାଦ weekend trip ପ୍ଲାନ କରିବା ।,କରଣ ସହ ଅହମଦାବାଦ weekend trip ପ୍ଲାନ କରିବା ।,କରଣ ସହ ଅହମଦାବାଦ weekend trip ପ୍ଲାନ କରିବା ।,karana saha ahamadaabaada weekend trip plaana karibaa,କରଣ ସହ ଅହମଦାବାଦ weekend trip ପ୍ଲାନ କରିବା ।,code_mixed_speech,or,0.0
or_00006,N/A,ଟ୍ରେନ୍ ପ୍ଲାଟଫର୍ମ ନମ୍ବର 7 ରୁ ଥାଣେ କୁ ଛାଡିବ ।,ଟ୍ରେନ୍ ପ୍ଲାଟଫର୍ମ ନମ୍ବର 7 ରୁ ଥାଣେ କୁ ଛାଡିବ ।,ଟ୍ରେନ୍ ପ୍ଲାଟଫର୍ମ ନମ୍ବର 7 ରୁ ଥାଣେ କୁ ଛାଡିବ ।,tren plaatapharma nambara 7 ru thaane ku chhaadiba,ଟ୍ରେନ୍ ପ୍ଲାଟଫର୍ମ ନମ୍ବର 7 ରୁ ଥାଣେ କୁ ଛାଡିବ ।,normal_native_speech,or,0.0
or_00007,N/A,ଆଜિ office ରେ ବହୁତ busy ଦିନ ଥିલા ।,ଆଜિ office ରେ ବହୁତ busy ଦିନ ଥିલા ।,ଆଜિ office ରେ ବହୁତ busy ଦିନ ଥିલા ।,aaji office re bahuta busy dina thilaa,ଆଜિ office ରେ ବହୁତ busy ଦିନ ଥିલા ।,code_mixed_speech,or,0.0
or_00008,N/A,କାଲି ବାରାଣସୀ ର ପାଣିପାଗ ବିଷୟରେ କଣ ସୂଚନା ଅଛି ?,କାଲି ବାରାଣସୀ ର ପାଣିପାଗ ବିଷୟରେ କଣ ସୂଚନା ଅଛି ?,କାଲି ବାରାଣସୀ ର ପାଣିପାଗ ବିଷୟରେ କଣ ସୂଚନା ଅଛି ?,kaali baaraanasee ra paanipaaga bishare kana soochanaa achhi ?,କାଲି ବାରାଣସୀ ର ପାଣିପାଗ ବିଷୟରେ କଣ ସୂଚନା ଅଛି ?,normal_native_speech,or,0.0
or_00009,N/A,ଆପଣଙ୍କର ଟ୍ରେନ୍ ନମ୍ବର ହେଉଛି 15636 ।,ଆପଣଙ୍କର ଟ୍ରେନ୍ ନମ୍ବର ହେଉଛି one five six three six ।,ଆପଣଙ୍କର ଟ୍ରେନ୍ ନମ୍ବର ହେଉଛି 15636 ।,aapanankara tren nambara heuchhi one five six three six,ଆପଣଙ୍କର ଟ୍ରେନ୍ ନମ୍ବର ହେଉଛି one five six three six ।,spoken_number_patterns,or,0.0
or_00010,N/A,ଆଜિ office ରେ ବହୁତ long ଦିନ ଥିલા ।,ଆଜિ office ରେ ବହୁତ long ଦିନ ଥିલા ।,ଆଜિ office ରେ ବହୁତ long ଦିନ ଥିલા ।,aaji office re bahuta long dina thilaa,ଆଜિ office ରେ ବହୁତ long ଦିନ ଥିલા ।,code_mixed_speech,or,0.0
or_00011,N/A,ଲକ୍ଷ୍ୟ ସ୍ଥାନଟି 31 km ଦୂରରେ ଅଛି ।,N/A,ଲକ୍ଷ୍ୟ ସ୍ଥାନଟି 31 km ଦୂରରେ ଅଛି ।,laksh sthaanati 31 km doorare achhi,ଲକ୍ଷ୍ୟ ସ୍ଥାନଟି 31 km ଦୂରରେ ଅଛି ।,units_measurements,or,0.0
or_00012,N/A,ଡାକ୍ତର 38 kg ମାତ୍ରା ପ୍ରେସକ୍ରାଇବ୍ କଲେ ।,N/A,ଡାକ୍ତର 38 kg ମାତ୍ରା ପ୍ରେସକ୍ରାଇବ୍ କଲେ ।,daaktara 38 kg maatraa presakraaib kale,ଡାକ୍ତର 38 kg ମାତ୍ରା ପ୍ରେସକ୍ରାଇବ୍ କଲେ ।,units_measurements,or,0.0
or_00013,N/A,ମୁଁ Swiggy ରେ ଗୋଟିଏ trending video ଦେଖିବାକୁ ଚାହେଁ ।,ମୁଁ Swiggy ରେ ଗୋଟିଏ trending video ଦେଖିବାକୁ ଚାହେଁ ।,ମୁଁ Swiggy ରେ ଗୋଟିଏ trending video ଦେଖିବାକୁ ଚାହେଁ ।,mun Swiggy re gotie trending video dekhibaaku chaahen,ମୁଁ Swiggy ରେ ଗୋଟିଏ trending video ଦେଖିବାକୁ ଚାହେଁ ।,code_mixed_speech,or,0.0
or_00014,N/A,ଟ୍ରେନ୍ ପ୍ଲାଟଫର୍ମ ନମ୍ବର 7 ରୁ ଦିଲ୍ଲୀ କୁ ଛାଡିବ ।,ଟ୍ରେନ୍ ପ୍ଲାଟଫର୍ମ ନମ୍ବର 7 ରୁ ଦିଲ୍ଲୀ କୁ ଛାଡିବ ।,ଟ୍ରେନ୍ ପ୍ଲାଟଫର୍ମ ନମ୍ବର 7 ରୁ ଦିଲ୍ଲୀ କୁ ଛାଡିବ ।,tren plaatapharma nambara 7 ru dillee ku chhaadiba,ଟ୍ରେନ୍ ପ୍ଲାଟଫର୍ମ ନମ୍ବର 7 ରୁ ଦିଲ୍ଲୀ କୁ ଛାଡିବ ।,normal_native_speech,or,0.0
